"HE_OFFERS";"HE - Offers"
"OFFERS_PageOffers";"This page contains an active offers"
"percent";"%"
"%s coupons"; "%s coupons"
"OFFERS_Plugin";"Offers Plugin"
"OFFERS_form_go_back";"go back"
"unlimit coupons";"Unlimited coupons"
"OFFERS_country";"Country"
"OFFERS_state";"State"
"OFFERS_city";"City"
"OFFERS_address";"Address"
"OFFERS_phone";"Phone"
"OFFERS_website";"Website"
"OFFERS_Offers";"Offers"
"OFFERS_Credits";"Credits"
"Offers_Details";"Offers Details"
"OFFERS_Popular";"Most Popular Offers"
"OFFERS_Recent";"Recent Offers"
"OFFERS_Hot";"Hot Offers"
"OFFERS_Contacts";"Contacts"
"OFFERS_Participants";"Participants"
"OFFERS_Create New Offer";"Create New Offer"
"OFFERS_ADMIN_CREATE_DESCRIPTION";"You can add new offer here"
"OFFERS_ADMIN_MANAGE_DESCRIPTION";"Browse created and choose appropriate offers, using a filter criteria. You can enable, disable or delete offers. Please note that disabled offers are not shown on Browse Offers page and widgets."
"OFFERS_Title";"Title"
"OFFERS_Price";"Offer Price"
"OFFERS_Discount";"Discount"
"OFFERS_Coupons Count";"Coupons Count"
"OFFERS_Description";"Description"
"OFFERS_Options";"Options"
"OFFERS_Owner";"Owner"
"OFFERS_Creation_date";"Creation date"
"OFFERS_Start Time";"Start Time"
"OFFERS_Start Time";"Start Time"
"OFFERS_End Time";"End Time"
"OFFERS_Photo";"Photo"
"OFFERS_Type";"Type"
"OFFERS_Paid";"Paid"
"OFFERS_Free";"Free"
"OFFERS_Condition";"Condition"
"OFFERS_Time Limit";"Time Limit"
"OFFERS_Unlimit";"Unlimited"
"OFFERS_Limit";"Limit"
"OFFERS_Coupons Count. Please complete this field - it is required.";"Coupons Count. Please complete this field - it is required."
"OFFERS_Start Time. Please select a date from the calendar and set a time.";"Start Time. Please select a date from the calendar and set a time."
"OFFERS_End Time. Please select a date from the calendar and set a time.";"End Time. Please select a date from the calendar and set a time."
"OFFERS_coupons_code_incorrect""Current code is already used by other offers"
"OFFERS_Coupons Code";"Coupons Code"
"UPDATES_Generate Code";"Generate Code"
"OFFERS_offers";"Offers"
"OFFERS_offers_browse";"Browse Offers"
"OFFERS_offers_manage";"My Offers"
"OFFERS_offer_view";"Get Offer"
"OFFERS_ADMIN_EDIT_DESCRIPTION";"Description"
"OFFERS_View Offers";"View Offers"
"OFFERS_Create Offer";"Create Offer"
"OFFERS_Edit";"Edit Offer"
"OFFERS_edit_contacts";"Edit Contacts"
"OFFERS_Your changes have been saved. You can go back to %s";"Your changes have been saved. You can go back to %s"
"OFFERS_There are no pages";"There are no pages"
"OFFERS_There are no offers";"There are no offers"
"OFFERS_Offer was successfully created.";"Offer was successfully created."
"OFFERS_Changes were successfully saved.";"Changes were successfully saved."
"OFFERS_Manage Photos";"Manage Photos"
"OFFERS_Back";"Back"
"OFFERS_Add photos";"Add photos"
"OFFERS_Edit photos";"Edit photos"
"OFFERS_Main Photo";"Main Photo"
"OFFERS_pageoffers_add_photo";"Add Photo"
"OFFERS_pageoffers_clear_list";"Clear List"
"OFFERS_pageoffers_upload_description";"Chose images on your computer to upload it in this offer album"
"OFFERS_pageoffers_save_photos";"Save photos"
"OFFERS_pageoffers_create_title_empty";"Title of the empty. Please complete this field - it is required.<br/>"
"OFFERS_pageoffers_create_discount_empty";"Discount of the empty. Please complete this field - it is required.<br/>"
"OFFERS_pageoffers_create_description_empty";"Description of the empty. Please complete this field - it is required.<br/>"
"OFFERS_pageoffers_create_coupons_code_empty";"Coupons count of the empty. Please complete this field - it is required.<br/>"
"OFFERS_PAGEOFFERS_CREATE_DESCRIPTION";"Compose your new coupon below, then click ""Post Entry"" and offer will be posted in the list of Offers"
"OFFERS_pageoffers_create_go_back";"go back"
"OFFERS_pageoffers_File Upload";"Add Photo"
"OFFERS_pageoffers_UPLOAD_DESCRIPTION";"Chose images on your computer to upload it in this offer album "
"OFFERS_pageoffers_form_time_limit_desc";"Distribution of coupon is limited by time"
"OFFERS_pageoffers_form_redeem_time_limit_desc";"Action of coupon will be limited by time"
"OFFERS_CATEGORIES_DESCRIPTION";"Below using a provided feature you can create, edit and delete the categories."
"OFFERS_Categories";"Categories"
"OFFERS_Add New Category";"Add New Category"
"OFFERS_Are you sure you want to delete this offer?";"Are you sure you want to delete this offer?"
"OFFERS_Are you sure you want to delete the selected offers?";"Are you sure you want to delete the selected offers?"
"OFFERS_Are you sure you want to disable this particular offer?";"Are you sure you want to disable this particular offer?"
