"ADMIN_ACTIVITY_TYPE_COMMENT_PAGEDOCUMENT";"When people comment on my document."
"ADMIN_ACTIVITY_TYPE_PAGEDOCUMENT_NEW";"When people post a new document in my page."
"ACTIVITY_TYPE_POST_PAGEDOCUMENT";"When people create a new document in my page."

# Menus
"pagedocument_Admin settings";"Document Settings"
"pagedocument_Documents";"Documents"
# Menus

# Form Edit

"pagedocument_Form Edit Form Title";"Edit document details"
"pagedocument_Form Edit Form Description";"Below you can edit your document details."

"pagedocument_Form Edit title";"Document Title"

"pagedocument_Form Edit description";"Document Description"

"pagedocument_Form Edit category";"Category"

"pagedocument_Form Edit file";"Browse and choose a file for your document. Allowed file types: pdf, txt, ps, rtf, epub, odt, odp, ods, odg, odf, sxw, sxc, sxi, sxd, doc, ppt, pps, xls, docx, pptx, ppsx, xlsx."

"pagedocument_Form Edit tags";"Tags (Keywords)"
"pagedocument_Form Edit tags description";"Separate tags with commas."

"pagedocument_Form Edit submit";"Save Document"
# Form Edit

# Form Create

"pagedocument_Form Create Form Title";"Post a new Document"

"pagedocument_Form Create Form Description";"Please fulfill fields below and configure privacy of your document."

"pagedocument_Form Create title";"Document Title"

"pagedocument_Form Create description";"Document Description"

"pagedocument_Form Create category";"Category"

"pagedocument_Form Create file";"Browse and choose a file for your document. Allowed file types: pdf, txt, ps, rtf, epub, odt, odp, ods, odg, odf, sxw, sxc, sxi, sxd, doc, ppt, pps, xls, docx, pptx, ppsx, xlsx, tif, tiff."

"pagedocument_Form Create tags";"Tags (Keywords)"
"pagedocument_Form Create tags description";"Separate tags with commas."

"pagedocument_Form Create secure";"Secure iPaper Document"
"pagedocument_Form Create secure 1";"Make iPaper document secure. Do not allow embedding on other sites."
"pagedocument_Form Create secure 0";"Do not make iPaper document secure. Allow embedding on other sites."

"pagedocument_Form Create download";"Allow Document Download"
"pagedocument_Form Create download allow";"Yes, allow document download."
"pagedocument_Form Create download disallow";"No, do not allow document download."

"pagedocument_Form Create submit";"Create Document"
# Form Create


# Form Admin Global

"pagedocument_Form Global Form Title";"Global Settings"
"pagedocument_Form Global Form Title Api";"Settings Api"
"pagedocument_Form Global Form Description";"These settings affect all members in your community. You need to register at <a href='https://console.developers.google.com/flows/enableapi?apiid=drive' target='_blank' >Google</a> for using this extension."

"pagedocument_Form Global api key label";"Google API client id"
"pagedocument_Form Global api key description";"The Google client id API."




"pagedocument_Form Global api key label_client_secret";"Google API client secret"
"pagedocument_Form Global api key description_client_secret";"The Google client secret API."




"pagedocument_Form Global api key label_redirect_uris";"Google API client redirect uris"
"pagedocument_Form Global api key description_redirect_uris";"The Google client redirect uris API."




"pagedocument_Form Global api key label_secret";"Google API Key"
