"Touch"; "Touch"
"TOUCH_MODE"; "Touch"
"Touch rate settings"; "Rating Settings"
"Touch Profile Status"; "Touch Profile Status"
"pagetitle-touch-index-admin-index";"Touch-Mobile Dashboard"
"pagetitle-touch-index-admin-content";"Touch Layout Editor"
"pagetitle-touch-index-admin-themes";"Touch Theme Editor"
"pagetitle-touch-index-admin-menus";"Touch Menu Editor"
"pagetitle-touch-index-admin-settings";"Touch Settings"
"pagetitle-touch-performance-admin-settings";"Touch Performance Settings"
"pagetitle-touch-index-admin-plugin-settings";"Touch-Rating Settings"
"pagetitle-touch-app-icon-set-admin-settings";"Touch Home Screen Icon"
"pagetitle-touch-index-admin-stats";"Touch Statistics"
"pagetitle-touch-global-stats-admin-stats";"Worldwide Mobile Statistics"
"pagetitle-touch-simple-utility";"pagetitle-touch-simple-utility"
"pagetitle-touch-error-error";"pagetitle-touch-error-error"
"Plugin Usage Stats";"Plugin Usage Stats"
"Plugin Information";"Plugin Information"
"Sorry, this content is not currently available in this version of Touch-Mobile or requested page doesn't exist. You can view this content on";"Sorry, this content is not currently available in this version of Touch-Mobile or requested page doesn't exist. You can view this content on"
"Touch-Mobile";"Touch-Mobile"
"Touch Plugin";"Touch-Mobile Plugin"
"TOUCH_View Upcoming Events"; "View Upcoming Events"
"TOUCH_DESCRIPTION_LOGIN"; "If you already have an account, please enter your login details below."
"TOUCH_BACK_TO_HOME"; "Back home"
"TOUCH_LOGIN";"Sign In"
"TOUCH_Incorrect username or user has been blocked. Please, check field \'Send to\' and try again.";"Incorrect username or user has been blocked. Please, check field \'Send to\' and try again."
"TOUCH_Please type your post\'s body!";"Please type your post\'s body"
"TOUCH_Please type your comment\'s body!";"Please type your comment\'s body"
"TOUCH_Layout Editor";"Touch-Mobile Layout Editor"
"TOUCH_LAYOUT_DESC";"Use the layout editor to decide what content appears on specific pages or in your site-wide header and footer. Click and drag the colored "blocks" to arrange the content you want on each page. Drag blocks to and from the "Available Blocks" area to add or remove them from your page."
