"UPDATES_Newsletter Updates";"Newsletter Updates"
"Newsletter Updates";"Newsletter"
"UPDATES_Newsletter Updates Plugin";"Newsletter Updates Plugin"
"Newsletter Updates Plugin";"Newsletter Updates Plugin"
"UPDATES_Update has been sent successfully to %s reciever";"Update has been sent successfully to %s recipient";"Update has been sent successfully to %s recipients"
"UPDATES_Changes have been successfully saved.";"Changes have been successfully saved."
"UPDATES_An error has occurred while saving changes!!!";"An error has occurred while saving changes!!!"
"UPDATES_Subscriber(s) Successfully Added.";"Subscriber(s) successfully added."
"UPDATES_Subscribers are already members.";"Subscribers are already members."
"UPDATES_An error has occurred!!!";"An error has occurred!!!"
"UPDATES_Subscriber Edited.";"Subscriber account information edited."
"UPDATES_Subscriber deleted.";"Subscriber deleted."
"UPDATES_An error has been occurred while subscribing!!!";"An error has been occurred while subscribing!!!"
"UPDATES_Message Content for recievers";"Message Content for recipients"
"UPDATES_Per update item number";"Per update item number"
"UPDATES_Save";"Save"
"UPDATES_cancel";"cancel"
"UPDATES_Add Subscriber";"Add Subscribers"
"UPDATES_ADMIN_ADD_SUBSCRIBERS_DESCRIPTION";"Add manually subscribers who will receive your mass email campaigns:"
"UPDATES_Email";"Email"
"UPDATES_Add Subscriber(s)";"Add Subscribers"
"UPDATES_Delete Subscriber";"Delete Subscriber"
"UPDATES_Are you sure you want to delete this subscriber?";"Are you sure you want to delete this subscriber?"
"UPDATES_Remove Subscriber";"Remove Subscriber"
"UPDATES_Edit Subscriber";"Edit Subscriber"
"UPDATES_You can change the details of this subscriber\'s account here.";"You can change the details of this subscriber\'s account here."
"UPDATES_Name";"Name"
"UPDATES_Email Adress";"Email Address"
"UPDATES_Save Changes";"Save Changes"
"UPDATES_Search";"Search"
"UPDATES_Imort Subscriber(s) from CSV file";"Import Subscribers from CSV file"
"UPDATES_ADMIN_IMPORT_SUBSCRIBERS_DESCRIPTION";"Please upload CSV file with subscribers. File format should be: John Doe <john@mail.com>,Maria <maria@gmail.com>"
"UPDATES_Import Subscriber(s)";"Import Subscribers"
"UPDATES_Member Level Settings";"Member Level Settings"
"UPDATES_FORM_ADMIN_LEVEL_DESCRIPTION";"These settings are applied on a per member level basis. Start by selecting the member level you want to modify, then adjust the settings for that level below."
"UPDATES_Member Level";"Member Level"
"UPDATES_Allow use Updates Plugin?";"Allow Receiving Newsletter Updates?"
"UPDATES_Do you want to let members use Updates Plugin to get updates about your Social Network?";"Do you want to let members receive newsletter updates about your Social Network?"
"UPDATES_No, do not allow use Updates Plugin.";"No, do not allow receiving newsletter updates."
"UPDATES_Yes, allow use Updates Plugin.";"Yes, allow receiving newsletter updates."
"UPDATES_Save Settings";"Save Settings"
"UPDATES_Send Update";"Send Update"
"UPDATES_FORM_ADMIN_SEND_DESCRIPTION";"Are you sure you want to send newsletter updates? System will send newsletter mass email to users and subscribers. You can click on `Preview` button to view what exactly will be sent."
"UPDATES_FORM_ADMIN_SETTINGS_TITLE";"Global Settings"
"UPDATES_FORM_ADMIN_SETTING_DESCRIPTION";""
"UPDATES_Update mode:";"Updates mode:"
